image_id,status,error_message,model_id,model_split,id_match,split_match,ground_truth_total_calories,gemini_total_calories,abs_error_total_calories,pct_error_total_calories,ground_truth_total_protein,gemini_total_protein,abs_error_total_protein,pct_error_total_protein,ground_truth_total_carb,gemini_total_carb,abs_error_total_carb,pct_error_total_carb,ground_truth_total_fat,gemini_total_fat,abs_error_total_fat,pct_error_total_fat,ground_truth_total_mass,gemini_total_mass,abs_error_total_mass,pct_error_total_mass,raw_model_json
dish_1561749908,ok,,dish_1561749908,test,True,True,377.262177,382.500000,5.237823,1.388377,35.403240,37.100000,1.696760,4.792669,22.846836,40.000000,17.153164,75.078947,16.426279,14.200000,2.226279,13.553155,472.000000,470.000000,2.000000,0.423729,"{""id"": ""dish_1561749908"", ""split"": ""test"", ""ingredients"": [{""id"": ""cucumber"", ""name"": ""cucumber"", ""grams"": 50.0, ""calories"": 7.5, ""fat"": 0.1, ""carb"": 1.8, ""protein"": 0.3}, {""id"": ""radish"", ""name"": ""radish"", ""grams"": 30.0, ""calories"": 4.8, ""fat"": 0.1, ""carb"": 1.0, ""protein"": 0.2}, {""id"": ""cherry tomato"", ""name"": ""cherry tomato"", ""grams"": 40.0, ""calories"": 7.2, ""fat"": 0.1, ""carb"": 1.6, ""protein"": 0.4}, {""id"": ""broccoli"", ""name"": ""broccoli"", ""grams"": 100.0, ""calories"": 34.0, ""fat"": 0.4, ""carb"": 6.6, ""protein"": 2.8}, {""id"": ""brussels sprouts"", ""name"": ""brussels sprouts"", ""grams"": 70.0, ""calories"": 29.4, ""fat"": 0.2, ""carb"": 6.0, ""protein"": 2.4}, {""id"": ""salmon"", ""name"": ""salmon"", ""grams"": 120.0, ""calories"": 252.0, ""fat"": 13.2, ""carb"": 0.0, ""protein"": 30.0}, {""id"": ""sweet potato"", ""name"": ""sweet potato"", ""grams"": 60.0, ""calories"": 51.6, ""fat"": 0.1, ""carb"": 12.0, ""protein"": 1.0}], ""total_calories"": 382.5, ""total_mass"": 470.0, ""total_fat"": 14.2, ""total_carb"": 40.0, ""total_protein"": 37.1}"
dish_1558459462,ok,,dish_1558459462,test,True,True,58.650002,69.000000,10.349998,17.647055,0.595000,0.720000,0.125000,21.008403,15.300000,18.100000,2.800000,18.300654,0.170000,0.160000,0.010000,5.882353,85.000000,100.000000,15.000000,17.647059,"{""id"": ""dish_1558459462"", ""split"": ""test"", ""ingredients"": [{""id"": ""grape"", ""name"": ""grape"", ""grams"": 100.0, ""calories"": 69.0, ""fat"": 0.16, ""carb"": 18.1, ""protein"": 0.72}], ""total_calories"": 69.0, ""total_mass"": 100.0, ""total_fat"": 0.16, ""total_carb"": 18.1, ""total_protein"": 0.72}"
dish_1565894910,ok,,dish_1565894910,test,True,True,537.113037,650.000000,112.886963,21.017357,18.191000,27.000000,8.809000,48.425045,67.945007,80.000000,12.054993,17.742279,21.353001,28.000000,6.646999,31.129109,179.000000,230.000000,51.000000,28.491620,"{""id"": ""dish_1565894910"", ""split"": ""test"", ""ingredients"": [{""id"": ""60001"", ""name"": ""pizza"", ""grams"": 200.0, ""calories"": 500.0, ""fat"": 20.0, ""carb"": 60.0, ""protein"": 25.0}, {""id"": ""60002"", ""name"": ""chocolate chip cookie"", ""grams"": 30.0, ""calories"": 150.0, ""fat"": 8.0, ""carb"": 20.0, ""protein"": 2.0}], ""total_calories"": 650.0, ""total_mass"": 230.0, ""total_fat"": 28.0, ""total_carb"": 80.0, ""total_protein"": 27.0}"
dish_1557861795,ok,,dish_1557861795,test,True,True,13.640000,150.000000,136.360000,999.706745,0.992000,5.000000,4.008000,404.032258,1.333000,10.000000,8.667000,650.187547,0.651000,10.000000,9.349000,1436.098310,31.000000,100.000000,69.000000,222.580645,"{""id"": ""dish_1557861795"", ""split"": ""test"", ""ingredients"": [{""id"": ""500000000000000000000000"", ""name"": ""salad"", ""grams"": 100.0, ""calories"": 150.0, ""fat"": 10.0, ""carb"": 10.0, ""protein"": 5.0}], ""total_calories"": 150.0, ""total_mass"": 100.0, ""total_fat"": 10.0, ""total_carb"": 10.0, ""total_protein"": 5.0}"
dish_1560455158,ok,,dish_1560455158,test,True,True,69.120850,24.000000,45.120850,65.278205,1.433316,1.370000,0.063316,4.417449,3.531324,2.680000,0.851324,24.107785,5.892522,1.200000,4.692522,79.635205,55.000000,60.000000,5.000000,9.090909,"{""id"": ""dish_1560455158"", ""split"": ""test"", ""ingredients"": [{""id"": ""arugula"", ""name"": ""arugula"", ""grams"": 50, ""calories"": 12.5, ""fat"": 0.13, ""carb"": 2.05, ""protein"": 1.29}, {""id"": ""black olives"", ""name"": ""black olives"", ""grams"": 10, ""calories"": 11.5, ""fat"": 1.07, ""carb"": 0.63, ""protein"": 0.08}], ""total_calories"": 24, ""total_mass"": 60, ""total_fat"": 1.2, ""total_carb"": 2.68, ""total_protein"": 1.37}"
dish_1562614158,ok,,dish_1562614158,test,True,True,453.931671,307.000000,146.931671,32.368676,31.996740,30.700000,1.296740,4.052725,14.829063,15.200000,0.370937,2.501419,30.739628,15.800000,14.939628,48.600549,301.000000,350.000000,49.000000,16.279070,"{""id"": ""dish_1562614158"", ""split"": ""test"", ""ingredients"": [{""id"": ""broccoli"", ""name"": ""broccoli"", ""grams"": 100, ""calories"": 34, ""fat"": 0.4, ""carb"": 6.6, ""protein"": 2.8}, {""id"": ""spinach"", ""name"": ""spinach"", ""grams"": 100, ""calories"": 23, ""fat"": 0.4, ""carb"": 3.6, ""protein"": 2.9}, {""id"": ""beef_stir_fry"", ""name"": ""beef stir fry"", ""grams"": 150, ""calories"": 250, ""fat"": 15, ""carb"": 5, ""protein"": 25}], ""total_calories"": 307, ""total_mass"": 350, ""total_fat"": 15.8, ""total_carb"": 15.2, ""total_protein"": 30.7}"
dish_1564432128,ok,,dish_1564432128,test,True,True,217.028381,550.000000,332.971619,153.423076,8.091219,25.000000,16.908781,208.976929,21.601864,50.000000,28.398136,131.461507,11.281487,30.000000,18.718513,165.922391,102.000000,250.000000,148.000000,145.098039,"{""id"": ""dish_1564432128"", ""split"": ""test"", ""ingredients"": [{""id"": ""ing_10000"", ""name"": ""salad"", ""grams"": 100.0, ""calories"": 150.0, ""fat"": 10.0, ""carb"": 10.0, ""protein"": 5.0}, {""id"": ""ing_10001"", ""name"": ""pizza"", ""grams"": 150.0, ""calories"": 400.0, ""fat"": 20.0, ""carb"": 40.0, ""protein"": 20.0}], ""total_calories"": 550.0, ""total_mass"": 250.0, ""total_fat"": 30.0, ""total_carb"": 50.0, ""total_protein"": 25.0}"
dish_1566591048,ok,,dish_1566591048,test,True,True,876.201843,587.000000,289.201843,33.006304,102.963142,64.600000,38.363142,37.259102,12.671190,30.700000,18.028810,142.281901,42.708851,19.920000,22.788851,53.358614,481.000000,430.000000,51.000000,10.602911,"{""id"": ""dish_1566591048"", ""split"": ""test"", ""ingredients"": [{""id"": ""65001"", ""name"": ""salmon"", ""grams"": 120, ""calories"": 250, ""fat"": 12, ""carb"": 0, ""protein"": 30}, {""id"": ""11352"", ""name"": ""potatoes"", ""grams"": 150, ""calories"": 120, ""fat"": 0.2, ""carb"": 27, ""protein"": 3}, {""id"": ""09200"", ""name"": ""olives"", ""grams"": 30, ""calories"": 45, ""fat"": 4, ""carb"": 2, ""protein"": 0.3}, {""id"": ""11957"", ""name"": ""red bell pepper"", ""grams"": 20, ""calories"": 6, ""fat"": 0.1, ""carb"": 1.4, ""protein"": 0.2}, {""id"": ""11298"", ""name"": ""lettuce"", ""grams"": 10, ""calories"": 1.5, ""fat"": 0.02, ""carb"": 0.3, ""protein"": 0.1}, {""id"": ""05064"", ""name"": ""chicken breast"", ""grams"": 100, ""calories"": 165, ""fat"": 3.6, ""carb"": 0, ""protein"": 31}], ""total_calories"": 587, ""total_mass"": 430, ""total_fat"": 19.92, ""total_carb"": 30.7, ""total_protein"": 64.6}"
dish_1558635400,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 682.210598ms.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '0s'}]}}",,,,,25.000000,,,,1.800000,,,,5.000000,,,,0.300000,,,,100.000000,,,,{}
dish_1564690038,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 52.723201606s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '52s'}]}}",,,,,92.339996,,,,7.290000,,,,16.200001,,,,0.324000,,,,81.000000,,,,{}
dish_1558116146,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 46.322558318s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '46s'}]}}",,,,,76.589996,,,,0.777000,,,,19.980001,,,,0.222000,,,,111.000000,,,,{}
dish_1563207277,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 13.097448941s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '13s'}]}}",,,,,153.089996,,,,1.300000,,,,23.700001,,,,6.100000,,,,106.000000,,,,{}
dish_1558116146,failed,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 58.115105153s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '58s'}]}}",,,,,76.589996,,,,0.777000,,,,19.980001,,,,0.222000,,,,111.000000,,,,{}
